COLEGIO_NAME,URL,ADRESS,SCHEDULE
CP INF-PRI JOAQUIN COSTA,https://www.colesyguardes.es/colegio/ceip-joaqun-costa/1#:~:text=Paseo%20Pontones%2C%208%2C%20CP%3A%2028005.,"['Paseo Pontones, 8, CP: 28005.']","['De Octubre a Mayo : 9:00-12:30 / 14:30-16:00 Septiembre y Junio: 9:00-13:00', 'Antes de la jornada lectiva: 7:30 – 9:00 ¿Se sirven desayunos?: Sí Precio del servicio: 45 € Después de la jornada lectiva: 16:00 - 17:00 Ejemplo de clases extraescolares ofertadas: Deportes, danza, dibujo, cuentacuentos, musicalia, teatro, francés, inglés… Precio aproximado de las clases extraescolares: De 13 € a 21 €. Natación: 49,5 €']"
CP INF-PRI LEGADO CRESPO,https://site.educa.madrid.org/cp.legadocrespo.madrid/,[],['Colegio público bilingüe de Educación Infantil (3-6) y Primaria (6-12) de línea 1 con jornada continuada de 09:00h a 14:00h']
CP INF-PRI MARQUES DE MARCENADO,https://www.educa2.madrid.org/web/centro.cp.marquesdemarcenado.madrid/centro,[],"['Se consideran actividades extraescolares las encaminadas a potenciar la apertura del centro a su entorno y a procurar la formación integral del alumnado en aspectos referidos al uso del tiempo libre. Se realizan fuera del horario lectivo (de 13:00 a 15:00 horas y de 16:30 a 17:30 horas), tienen carácter voluntario para el alumnado y buscan la implicación activa de toda la comunidad educativa en su gestión y organización. Las actividades pueden estar organizadas por distintas entidades.', 'Juegos Cooperativos (para la etapa de Primaria, de lunes a viernes de 16:30 a 17:30 horas)', 'Ludoteca (para la etapa de Infantil, de lunes a viernes de 16:30 a 17:30 horas)']"
CP INF-PRI MENENDEZ Y PELAYO,https://www.educa2.madrid.org/web/centro.cp.menendezypelayo.madrid,"['Servicio de Apoyo a la Escolarización correspondiente a nuestro centro: CEIP JAIME VERA C/ÁVILA 2, 28020. Contacto: sae1capital@madrid.org/ Teléfonos 636 118 085 / 648 537 248/ 616 885 671']",['La Jornada de Puertas Abiertas será presencial el LUNES 4 MARZO a las 16:30 en el SALÓN DE ACTOS (sin cita previa). ']
CP INF-PRI MIGUEL DE UNAMUNO,https://www.educa2.madrid.org/web/centro.cp.unamuno.madrid,[],[]
CP INF-PRI PLACIDO DOMINGO,https://www.educa2.madrid.org/web/centro.cp.placidodomingo.madrid,[],[]
CP INF-PRI SAN EUGENIO Y SAN ISIDRO,https://www.educa2.madrid.org/web/centro.cp.saneugenio.madrid,"['Dirección: Calle De Peñuelas 31, 28005, Madrid (Arganzuela).', 'DIRECCIÓN Y TELÉFONO: CALLE ÁVILA, 2 C.P. 28020']","['AGOTADAS Enlace ENTRADAS 14/03/2024 A LAS 14:45 h', 'PARTIDA. De 9 a 12:30h, y de 14:30 a 16h.']"
CP INF-PRI TIRSO DE MOLINA,https://www.educa2.madrid.org/web/centro.ceipso.tirsodemolina.madrid,"['Dirección: C/ Bronce 1, 28045 - Madrid']","['En el CEIP Tirso de Molina se desarrollarán jornadas de puertas abiertas los días 27 de febrero, 4 de marzo, 5 de marzo y 18 de marzo de 2024 a las 16:00 horas. Para poder asistir, es necesario que se inscriban a través de uno de los siguientes formularios:', 'MARTES 27 DE FEBRERO (16:00 HORAS)  Completo', 'LUNES 4 DE MARZO (16:00 HORAS)  Completo', 'MARTES 5 DE MARZO (16:00 HORAS)  Completo', 'LUNES 18 DE MARZO (16:00 HORAS)  Completo ', 'Recordamos que la salida del último día, viernes 22 de diciembre, se adelanta a las 13:00 horas. Los alumnos/as usuarios del servicio de comedor escolar saldrán a las 14:45/15:00 horas.', 'SALIDAS – A las 13:00 horas: Por las puertas habituales.', 'SALIDAS – A las 14:45/15:00 horas (COMEDOR):', '1º de Primaria: JUEVES 7 DE SEPTIEMBRE DE 2023 (DE 15:00 A 16:00 HORAS)', '2º de Primaria: JUEVES 7 DE SEPTIEMBRE DE 2023 (DE 16:00 A 17:00 HORAS)', '3º de Primaria: JUEVES 7 DE SEPTIEMBRE DE 2023 (DE 17:00 A 18:00 HORAS)', '4º de Primaria: VIERNES 8 DE SEPTIEMBRE DE 2023 (DE 15:00 A 16:00 HORAS)', '5º de Primaria: VIERNES 8 DE SEPTIEMBRE DE 2023 (DE 16:00 A 17:00 HORAS)', '6º de Primaria: VIERNES 8 DE SEPTIEMBRE DE 2023 (DE 17:00 A 18:00 HORAS)', 'HORA: 10:30 horas.', 'Las entradas se realizarán a la misma hora (09:00 h.)', 'El horario de junio y septiembre es continuado y reducido, por lo que el alumnado que no se quede a comedor saldrá a las 13:00h.', 'El alumnado que se quede a comedor sale a las 15:00h.', 'El alumnado que se quede a últimos del cole saldrá a las 16:00 o a las 17:00h según el horario que haya solicitado.', 'En el CEIP Tirso de Molina se desarrollarán jornadas de puertas abiertas los días 14, 15 y 16 de marzo de 2023 a las 16:00 horas. Para poder asistir, es necesario que se inscriban a través de uno de los siguientes formularios:', 'MARTES 14 DE MARZO (16:00 HORAS) COMPLETO', 'MIÉRCOLES 15 DE MARZO (16:00 HORAS)  COMPLETO', 'JUEVES16 DE MARZO (16:00 HORAS)  COMPLETO', 'Recordamos que la salida del último día, jueves 22 de diciembre se adelanta a las 13:00 horas. Los alumnos/as usuarios del servicio de comedor escolar saldrán a las 14:45/15:00 horas.', 'SALIDAS – A las 13:00 horas y a las 14:45/15:00 horas:', 'ENTRADA 09:00 - 12:30 horas', '12:30 -14:30 horas (Comida)', '14:30 - 16:00 horas SALIDA', 'FECHA Y HORA DE RECOGIDA: LUNES 19 DE SEPTIEMBRE DE 2022 (DE 15:00 A 17:00 HORAS)', 'FECHA Y HORA DE RECOGIDA: LUNES 19 DE SEPTIEMBRE DE 2022 (DE 15:00 A 17:00 HORAS)', 'FECHA Y HORA DE RECOGIDA: LUNES 12 DE SEPTIEMBRE DE 2022 (DE 16:00 A 18:00 HORAS)', 'FECHA Y HORA DE RECOGIDA: LUNES 12 DE SEPTIEMBRE DE 2022 (DE 16:00 A 18:00 HORAS)', '4 años: 08:55 horas', '5 años y 1º de Primaria: 09:00 horas', '2º y 3º de Primaria: 09:05 horas', 'Resto de cursos: 09:00 horas', '  A partir de la próxima semana se unificarán los horarios de entrada a las 09:00 horas.', 'Horario septiembre de 2022 y junio de 2023: 09:00 a 13:00 h.', '(Comedor escolar de 13:00h a 15:00h)', 'Horario de octubre 2022 a mayo 2023: 09:00 a 12:30 y de 14:30 a 16:00h.', '(Comedor escolar de 12:30h a 14:30h)', 'HORA: 09:30 horas', 'MIÉRCOLES 20 ABRIL - 17:00 horas.', 'JUEVES 21 ABRIL - 16:00 horas.', 'La entrada tendrá lugar en el horario habitual y se adelanta la salida a las 13:00 horas para aquellos alumnos/as que no hacen uso del servicio de comedor. Y hasta las 15:00 horas para el alumnado que come en el centro (pudiendo salir desde las 14:45 horas).', 'Los pasados días 6, 7, y 8 de septiembre las familias adheridas al Programa Accede recogieron los lotes de libros del presente curso escolar. Si les fue imposible recoger sus libros en los días establecidos, hemos organizado una última fecha de recogida. Será el próximo lunes 13 de septiembre de 2021 en horario de 16:00 a 18:00 horas.', 'ÚLTIMA FECHA Y HORA DE RECOGIDA: LUNES 13 DE SEPTIEMBRE DE 2021 (DE 16:00 A 18:00 HORAS)', '3º y 4º de Primaria: LUNES 6 DE SEPTIEMBRE DE 2021 (DE 16:00 A 19:00 HORAS)', '5º y 6º de Primaria: MARTES 7 DE SEPTIEMBRE DE 2021 (DE 16:00 A 19:00 HORAS)', '1º y 2º de Primaria: MIÉRCOLES 8 DE SEPTIEMBRE DE 2021 (DE 16:00 A 19:00 HORAS)', 'Se recogerán los lotes completos de los libros (3º, 4º, 5º y 6º de Ed. Primaria) que aún no han sido devueltos. El horario de la devolución será de 16:00 a 18:00 horas, en el edificio principal de Educación Primaria.', 'La entrada tendrá lugar en el horario habitual y se adelanta la salida a las 13:00 horas para aquellos alumnos/as que no hacen uso del servicio de comedor. Y hasta las 15:00 horas para el alumnado que come en el centro (pudiendo salir desde las 14:45 horas).', '08:50-09:05 horas a 14:00 horas', ' 14:00 a 16:00 horas', 'de  9:00 - 10:00 horas. las familias de los alumnos de los números del 1 al 10  inclusive.', 'de 10:30 - 11.30 horas. las familias de los alumnos de los números del 11 al 20 inclusive.', 'de  9:00 - 10:00 horas. las familias de los alumnos de los números del 1 al 8  inclusive.', 'de 10:30 - 11.30 horas. las familias de los alumnos de los números del 9 al 16 inclusive.', 'de 12:00 -13:00 horas. las familias de los alumnos de los números del 17 al 24 inclusive.', 'Miércoles 13 de marzo a las 9:30 horas y a las 16:00 horas.', 'Viernes 15 de marzo a las 15:30 horas.', '     Se informa de que el viernes 22 de junio de 2018 de 08:30 a 13:00 horas, en la secretaría del CEIPSO Tirso de Molina, se entregarán los Historiales Académicos (antiguo libro de escolaridad) y los Resultados de las Pruebas Externas.']"
CP INF-PRI TOMAS BRETON,https://www.educa2.madrid.org/web/centro.cp.tomasbreton.madrid,['28005 Madrid'],"['Apúntate a la II carrera solidaria del CEIP Tomás Bretón el día 9 de mayo a las 16:15. Todo lo recaudado se destinará a la escuela LIKEME de Senegal para mejorar la calidad educativa de nuestros amigos senegaleses con el apoyo de la asociación ""Una aldea llamada Wandié""', '6 MARZO: 16:15h', '12 MARZO: 12:30 - 13:30h', '13 MARZO:16:15h']"
CEPA ARGANZUELA,https://www.educa2.madrid.org/web/centro.cepa.arganzuela.madrid,"['  Calle Batalla del Salado, 29   28045 Madrid']",['Todos los aspirantes tienen que estar a las 09:00 horas en el CEPA Arganzuela en el acto de presentación.']
